分類號,作者,品名,創作年代,媒材技術,尺寸,網址,link,圖片連結
F1054,張乾琦,"Jiang J. Family, Fuzhou/Jiang J. Family, New York City (江家，福州琅岐鎮／紐約)",2004/ 2008,彩色照片、黑白銀鹽照片,63 x 96 cm (x2),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1055,張乾琦,"Zhang Z. Family, Fuzhou/Zhang Z. Family, New York City (張家，福州長樂區/紐約)",2003/1998,彩色照片、黑白銀鹽照片,63 x 96 cm (x2),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1056,張乾琦,"Chen X. Family, Fuzhou/Chen X. Family, New York City/Chen X. Family, Fuzhou (陳家，福州亭江鎮／紐約／福州亭江鎮)",2004/ 1998/ 2007,彩色照片、黑白銀鹽照片,63 x 96 cm (x3),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
I0639,吳學讓,群鵝,1976,彩墨、紙本,35 x 45 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
K0268,董陽孜,今人不見古時月 今月曾經照古人,1996,墨、紙,39 x 182 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
K0269,董陽孜,無盡藏,1997,墨、紙,69 x 138 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
K0270,董陽孜,花有清香月有陰,2005,墨、紙,230 x 25 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0376,林鉅,九節拂風 伍 常玉演,2018,水墨、絹、 畫布,136 x 70.5 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0377,林鉅,九節拂風 拾肆,2018,水墨、絹、 畫布,155 x 72.5 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0378,李明則,多．寶．格,2020,複合媒材,100 x 124 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0379,莊普,心靈與材質的邂逅 II,1983,宣紙、水彩紙、紙板、壓克力顏料、粉彩,76 x 56 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0380,莊普,掛著,1989,壓克力顏料、樹枝、麻繩、畫布,29 x 40 x 9cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0381,莊普,幻滅之國,1992,竹子、壓克力顏料、畫布,43.5 x 46.5 x 5 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0382,莊普,你就是那美麗的花朵,1997,複合媒材,依場地而定,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
M0383,莊普,尺度外,1999,鉛筆、壓克力顏料、魯班尺、鐵絲、水彩紙,20 x 25 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
